Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Code	Source Column	Source Column Alternative	caDSR CDE ID	Class	Required Avs	Property to Return Value
tcga-breast-BH.txt	Other Columns	1	STUDY ID								
tcga-breast-BH.txt	OMIT	2	OMIT			bcr_patient_uuid	bcr_patient_uuid				
tcga-breast-BH.txt	Patient	3	SUBJ_ID			bcr_patient_barcode	bcr_patient_barcode	2673794			
tcga-breast-BH.txt	OMIT	4	OMIT			form_completion_date	form_completion_date				
tcga-breast-BH.txt	OMIT	5	OMIT			prospective_collection	tissue_prospective_collection_indicator	3088492			
tcga-breast-BH.txt	OMIT	6	OMIT			retrospective_collection	tissue_retrospective_collection_indicator	3088528			
tcga-breast-BH.txt	OMIT	7	OMIT			birth_days_to	days_to_birth	3008233			
tcga-breast-BH.txt	OMIT	8	Gender			gender	gender	2200604	Patient		hasGender
tcga-breast-BH.txt	OMIT	9	Menopause Status			menopause_status	menopause_status	2957270	Patient		hasMenopausalStatus
tcga-breast-BH.txt	OMIT	10	Race			race	race	2192199			
tcga-breast-BH.txt	OMIT	11	Ethnicity			ethnicity	ethnicity	2192217	Patient		hasEthnicity
tcga-breast-BH.txt	OMIT	12	History of Other Malignancy			history_other_malignancy	prior_dx	3382736			
tcga-breast-BH.txt	OMIT	13	Neoadjuvant Treatment			history_neoadjuvant_treatment	history_of_neoadjuvant_treatment	3382737			
tcga-breast-BH.txt	OMIT	14	Tumor Status			tumor_status	person_neoplasm_cancer_status	2759550			
tcga-breast-BH.txt	OMIT	15	Vital Status			vital_status	vital_status	5			
tcga-breast-BH.txt	OMIT	16	Days to Last Followup			last_contact_days_to	days_to_last_followup	3008273			
tcga-breast-BH.txt	OMIT	17	Days to Death			death_days_to	days_to_death	3165475			
tcga-breast-BH.txt	OMIT	18	Radiation Adjuvant Tx			radiation_treatment_adjuvant	radiation_therapy	2005312			
tcga-breast-BH.txt	OMIT	19	Pharmaceutical Adjuvant Tx			pharmaceutical_tx_adjuvant	postoperative_rx_tx	3397567			
tcga-breast-BH.txt	Tumor+Tumor Phenotype	20	Histologic Diagnosis Other			histologic_diagnosis_other	histological_type_other	3124492	Tumor		hasDiagnosis
tcga-breast-BH.txt	OMIT	21	Initial Pathologic DX (year)			initial_pathologic_dx_year	year_of_initial_pathologic_diagnosis	2896960			
tcga-breast-BH.txt	OMIT	22	Age at Diagnosis			age_at_diagnosis	age_at_initial_pathologic_diagnosis	2006657	Tumor		hasAgeOnset
tcga-breast-BH.txt	OMIT	23	Initial Pathologic DX Method			method_initial_path_dx	initial_pathologic_diagnosis_method	2757941			
tcga-breast-BH.txt	OMIT	24	Initial Pathologic DX Method Other			method_initial_path_dx_other	init_pathology_dx_method_other	2757948			
tcga-breast-BH.txt	OMIT	25	Primary Surgical Procedure			surgical_procedure_first	breast_carcinoma_surgical_procedure_name	2739580			
tcga-breast-BH.txt	OMIT	26	Primary Surgical Procedure Other			first_surgical_procedure_other	surgical_procedure_purpose_other_text	3020338			
tcga-breast-BH.txt	OMIT	27	Margin Status			margin_status	margin_status	3114007	Tumor		hasMarginStatus
tcga-breast-BH.txt	OMIT	28	Surgery for Positive Margins			surgery_for_positive_margins	breast_carcinoma_primary_surgical_procedure_name	1218			
tcga-breast-BH.txt	OMIT	29	Surgery for Positive Margins Other			surgery_for_positive_margins_other	breast_neoplasm_other_surgical_procedure_descriptive_text	3124493			
tcga-breast-BH.txt	OMIT	30	Margin Status Reexcision			margin_status_reexcision	breast_cancer_surgery_margin_status	2241252			
tcga-breast-BH.txt	OMIT	31	Axillary Staging Method			axillary_staging_method	axillary_lymph_node_stage_method_type	2516112			
tcga-breast-BH.txt	OMIT	32	Axillary Staging Method Other			axillary_staging_method_other	axillary_lymph_node_stage_other_method_descriptive_text	3124496			
