Filename	Category Code	Column Number	Data Label	Data Label Source	Controlled Vocab Code	Source Column	Source Column Alternative	caDSR CDE ID	Class	Required Avs	Property to Return Value
tcga-melanoma.txt	Other Columns	1	STUDY_ID			bcr_patient_barcode		2673794			
tcga-melanoma.txt	OMIT	2	OMIT			informed_consent_verified		3288361			
tcga-melanoma.txt	Tumor	3	Primary Site			icd_o_3_site		3226281	MelanomaPrimaryTumor		hasBodySite
tcga-melanoma.txt	OMIT	4	Histology			icd_o_3_histology		3226275			
tcga-melanoma.txt	OMIT	5	ICD-10 Code			icd_10		3226287			
tcga-melanoma.txt	OMIT	6	OMIT			tissue_prospective_collection_indicator		3088492			
tcga-melanoma.txt	OMIT	7	OMIT			tissue_retrospective_collection_indicator		3088528			
tcga-melanoma.txt	OMIT	8	Person Birth Date Less Initial Pathologic Diagnosis Date (Calculated Day Value)			days_to_birth		3008233			
tcga-melanoma.txt	OMIT	9	Gender			gender		2200604			
tcga-melanoma.txt	OMIT	10	Height			height		649			
tcga-melanoma.txt	OMIT	11	Weight			weight		651			
tcga-melanoma.txt	OMIT	12	Race			race		2192199			
tcga-melanoma.txt	OMIT	13	Ethnicity			ethnicity		2192217			
tcga-melanoma.txt	OMIT	14	Prior Cancer Diagnosis Occurrence			other_dx		3382736			
tcga-melanoma.txt	OMIT	15	Neoadjuvant Therapy Type Administered Prior To Resection			history_of_neoadjuvant_treatment		3382737			
tcga-melanoma.txt	OMIT	16	Person Neoplasm Status			person_neoplasm_cancer_status		2759550			
tcga-melanoma.txt	OMIT	17	Vital Status			vital_status		5			
tcga-melanoma.txt	OMIT	18	Death Less Initial Pathologic Diagnosis Date Calculated Day Value			days_to_death		3165475			
tcga-melanoma.txt	Tumor+ Tumor Phenotype	19	Primary Neoplasm Melanoma Diagnosis Indicator			primary_neoplasm_melanoma_dx		3108462	MelanomaPrimaryTumor		hasDiagnosis
tcga-melanoma.txt	OMIT	20	Primary Tumor Multiple Present Ind			primary_tumor_multiple_present_ind		64186			
tcga-melanoma.txt	Tumor+ Tumor Phenotype	21	Tumor Disease Anatomic Site			tumor_tissue_site		3427536	MelanomaPrimaryTumor		hasBodySite
tcga-melanoma.txt	OMIT	22	Primary Tumor Location Total Count			primary_anatomic_site_count		3427609			
tcga-melanoma.txt	Tumor+ Tumor Phenotype	23	Breslow Depth Value			breslow_depth_value		2593055			
tcga-melanoma.txt	Tumor+ Tumor Phenotype	24	Melanoma Specimen Clark Level Value			melanoma_clark_level_value		2593051			
tcga-melanoma.txt	Tumor+ Tumor Phenotype	25	Melanoma Ulceration Indicator			melanoma_ulceration_indicator		3108478			
tcga-melanoma.txt	OMIT	26	Malignant Neoplasm Mitotic Count Rate Square Millimeter Value			malignant_neoplasm_mitotic_count_rate		3119292			
tcga-melanoma.txt	OMIT	27	Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value			days_to_initial_pathologic_diagnosis		3131740			
tcga-melanoma.txt	OMIT	28	Diagnosis Age			age_at_initial_pathologic_diagnosis		2006657			
tcga-melanoma.txt	OMIT	29	Year Cancer Initial Diagnosis Number			year_of_initial_pathologic_diagnosis		2896960			
